Date,isStart,isEnd,Aurora,Bataan,Bulacan,Nueva Ecija,Pampanga,Tarlac,Zambales,Angeles,Olongapo,Batangas,Cavite,Laguna,Rizal,Quezon,Caloocan,Las Pinas,Makati,Malabon,Mandaluyong,Manila,Marikina,Muntinlupa,Navotas,Paranaque,Pasay,Pasig,Pateros,Quezon City,San Juan,Taguig,Valenzuela,Bohol,Cebu,Negros Oriental,Siquijor,Cebu City,Lapu-lapu City,Mandaue City,Davao del Norte,Davao del Sur,Davao Oriental,Davao Occidental,Davao de Oro,Davao City,day_of_week,month,day_of_month,day_of_year,day_name,Aurora Q Code,Bataan Q Code,Bulacan Q Code,Nueva Ecija Q Code,Pampanga Q Code,Tarlac Q Code,Zambales Q Code,Angeles Q Code,Olongapo Q Code,Batangas Q Code,Cavite Q Code,Rizal Q Code,Laguna Q Code,Quezon Q Code,Caloocan Q Code,Las Pinas Q Code,Makati Q Code,Malabon Q Code,Mandaluyong Q Code,Manila Q Code,Marikina Q Code,Muntinlupa Q Code,Navotas Q Code,Paranaque Q Code,Pasay Q Code,Pasig Q Code,Pateros Q Code,Quezon City Q Code,San Juan Q Code,Taguig Q Code,Valenzuela Q Code,Bohol Q Code,Cebu Q Code,Negros Oriental Q Code,Siquijor Q Code,Cebu City Q Code,Lapu-lapu City Q Code,Mandaue City Q Code,Davao de Oro Q Code,Davao del Norte Q Code,Davao del Sur Q Code,Davao Occidental Q Code,Davao Oriental Q Code,Davao City Q Code,mode,mode Q Code,region_iii_mode,region_iii_mode Q Code,region_iva_mode,region_iva_mode Q Code,region_ncr_mode,region_ncr_mode Q Code,region_vii_mode,region_vii_mode Q Code,region_xi_mode,region_xi_mode Q Code
2020-03-17,True,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,3,17,77,Tuesday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-18,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2,3,18,78,Wednesday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-19,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3,3,19,79,Thursday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-20,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,4,3,20,80,Friday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-21,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,5,3,21,81,Saturday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-22,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6,3,22,82,Sunday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-23,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,3,23,83,Monday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-24,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,3,24,84,Tuesday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-25,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2,3,25,85,Wednesday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-26,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3,3,26,86,Thursday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-27,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,4,3,27,87,Friday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-28,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,5,3,28,88,Saturday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-29,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6,3,29,89,Sunday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-30,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,3,30,90,Monday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-03-31,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,3,31,91,Tuesday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-04-01,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2,4,1,92,Wednesday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-04-02,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3,4,2,93,Thursday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-04-03,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,4,4,3,94,Friday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-04-04,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,5,4,4,95,Saturday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-04-05,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6,4,5,96,Sunday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-04-06,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,4,6,97,Monday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-04-07,True,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,4,7,98,Tuesday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
2020-04-08,False,False,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,ECQ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2,4,8,99,Wednesday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,ECQ,4,ECQ,4,ECQ,4,ECQ,4,NONE,0,NONE,0
