Date,isStart,isEnd
"March 17, 2020",1,0
"March 18, 2020",0,0
"March 19, 2020",0,0
"March 20, 2020",0,0
"March 21, 2020",0,0
"March 22, 2020",0,0
"March 23, 2020",0,0
"March 24, 2020",0,0
"March 25, 2020",0,0
"March 26, 2020",0,0
"March 27, 2020",0,0
"March 28, 2020",0,0
"March 29, 2020",0,0
"March 30, 2020",0,0
"March 31, 2020",0,0
"April 1, 2020",0,0
"April 2, 2020",0,0
"April 3, 2020",0,0
"April 4, 2020",0,0
"April 5, 2020",0,0
"April 6, 2020",0,0
"April 7, 2020",1,0
"April 8, 2020",0,0
"April 9, 2020",0,0
"April 10, 2020",0,0
"April 11, 2020",0,0
"April 12, 2020",0,0
"April 13, 2020",0,1
"April 14, 2020",0,0
"April 15, 2020",0,0
"April 16, 2020",0,0
"April 17, 2020",0,0
"April 18, 2020",0,0
"April 19, 2020",0,0
"April 20, 2020",0,0
"April 21, 2020",0,0
"April 22, 2020",0,0
"April 23, 2020",0,0
"April 24, 2020",1,0
"April 25, 2020",0,0
"April 26, 2020",0,0
"April 27, 2020",0,0
"April 28, 2020",0,0
"April 29, 2020",0,0
"April 30, 2020",0,1
"May 1, 2020",0,0
"May 2, 2020",0,0
"May 3, 2020",0,0
"May 4, 2020",0,0
"May 5, 2020",0,0
"May 6, 2020",0,0
"May 7, 2020",0,0
"May 8, 2020",0,0
"May 9, 2020",0,0
"May 10, 2020",0,0
"May 11, 2020",0,0
"May 12, 2020",0,0
"May 13, 2020",0,0
"May 14, 2020",0,0
"May 15, 2020",0,0
"May 16, 2020",1,0
"May 17, 2020",0,0
"May 18, 2020",0,0
"May 19, 2020",0,0
"May 20, 2020",0,0
"May 21, 2020",0,0
"May 22, 2020",0,0
"May 23, 2020",0,0
"May 24, 2020",0,0
"May 25, 2020",0,0
"May 26, 2020",0,0
"May 27, 2020",0,0
"May 28, 2020",0,0
"May 29, 2020",0,0
"May 30, 2020",0,0
"May 31, 2020",0,1
"June 1, 2020",1,0
"June 2, 2020",0,0
"June 3, 2020",0,0
"June 4, 2020",0,0
"June 5, 2020",0,0
"June 6, 2020",0,0
"June 7, 2020",0,0
"June 8, 2020",0,0
"June 9, 2020",0,0
"June 10, 2020",0,0
"June 11, 2020",0,0
"June 12, 2020",0,0
"June 13, 2020",0,0
"June 14, 2020",0,0
"June 15, 2020",0,1
"June 16, 2020",1,0
"June 17, 2020",0,0
"June 18, 2020",0,0
"June 19, 2020",0,0
"June 20, 2020",0,0
"June 21, 2020",0,0
"June 22, 2020",0,0
"June 23, 2020",0,0
"June 24, 2020",0,0
"June 25, 2020",0,0
"June 26, 2020",0,0
"June 27, 2020",0,0
"June 28, 2020",0,0
"June 29, 2020",0,0
"June 30, 2020",0,1