name,pse_code,sector
Bloomberry Resorts Corporation,BLOOM,Services
Aboitiz Power Corporation,AP,Industrial
Ayala Corporation,AC,Holding
"Aboitiz Equity Ventures, Inc.",AEV,Holding
"Alliance Global Group, Inc.",AGI,Holding
"Ayala Land, Inc.",ALI,Property
"BDO Unibank, Inc.",BDO,Financials
Bank of the Philippine Islands,BPI,Financials
"DMCI Holdings, Inc.",DMC,Holding
First Gen Corporation,FGEN,Industrial
"Globe Telecom, Inc.",GLO,Services
"GT Capital Holdings, Inc.",GTCAP,Holding
"International Container Terminal Services, Inc.",ICT,Services
Jollibee Foods Corporation,JFC,Industrial
"JG Summit Holdings, Inc.",JGS,Holding
"LT Group, Inc.",LTG,Holding
Metropolitan Bank & Trust Company,MBT,Financials
Megaworld Corporation,MEG,Property
Manila Electric Company,MER,Industrial
Metro Pacific Investments Corporation,MPI,Holding
"Puregold Price Club, Inc.",PGOLD,Services
Robinsons Land Corporation,RLC,Property
"Robinsons Retail Holdings, Inc.",RRHI,Services
Semirara Mining and Power Corporation,SCC,Mining and Oil
Security Bank Corporation,SECB,Financials
SM Investments Corporation,SM,Holding
San Miguel Corporation,SMC,Holding
"SM Prime Holdings, Inc.",SMPH,Property
PLDT Inc.,TEL,Services
Universal Robina Corporation,URC,Industrial