Date,Davao del Norte,Davao del Sur,Davao Oriental,Davao Occidental,Davao de Oro,Davao City
"March 17, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 18, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 19, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 20, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 21, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 22, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 23, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 24, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 25, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 26, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 27, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 28, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 29, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 30, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"March 31, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 1, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 2, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 3, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 4, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 5, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 6, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 7, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 8, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 9, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 10, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 11, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 12, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 13, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 14, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 15, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 16, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 17, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 18, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 19, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 20, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 21, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 22, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 23, 2020",NONE,NONE,NONE,NONE,NONE,NONE
"April 24, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"April 25, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"April 26, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"April 27, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"April 28, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"April 29, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"April 30, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 1, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 2, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 3, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 4, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 5, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 6, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 7, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 8, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 9, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 10, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 11, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 12, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 13, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 14, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 15, 2020",ECQ,GCQ,GCQ,GCQ,ECQ,ECQ
"May 16, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 17, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 18, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 19, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 20, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 21, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 22, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 23, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 24, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 25, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 26, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 27, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 28, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 29, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 30, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"May 31, 2020",GCQ,GCQ,GCQ,GCQ,GCQ,GCQ
"June 1, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 2, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 3, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 4, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 5, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 6, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 7, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 8, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 9, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 10, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 11, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 12, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 13, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 14, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 15, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 16, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 17, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 18, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 19, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 20, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 21, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 22, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 23, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 24, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 25, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 26, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 27, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 28, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 29, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ
"June 30, 2020",MGCQ,MGCQ,MGCQ,MGCQ,MGCQ,GCQ