Location,Region
Aurora,III
Bataan,III
Bulacan,III
Nueva Ecija,III
Pampanga,III
Tarlac,III
Zambales,III
Angeles,III
Olongapo,III
Caloocan,NCR
Las Pinas,NCR
Makati,NCR
Malabon,NCR
Mandaluyong,NCR
Manila,NCR
Marikina,NCR
Muntinlupa,NCR
Navotas,NCR
Paranaque,NCR
Pasay,NCR
Pasig,NCR
Pateros,NCR
Quezon City,NCR
San Juan,NCR
Taguig,NCR
Valenzuela,NCR
Batangas,IV-A
Cavite,IV-A
Rizal,IV-A
Laguna,IV-A
Quezon,IV-A
Bohol,VII
Cebu,VII
Negros Oriental,VII
Siquijor,VII
Cebu City,VII
Lapu-lapu City,VII
Mandaue City,VII
Davao de Oro,XI
Davao del Norte,XI
Davao del Sur,XI
Davao Occidental,XI
Davao Oriental,XI
Davao City,XI